"No.","Time","Source","Destination","Protocol","Length","Info"
"13","2016-09-26 23:00:04.305836","192.168.1.196","54.210.202.2","TCP","60","[TCP segment of a reassembled PDU]"
"56","2016-09-26 23:00:14.520278","192.168.1.196","54.210.202.2","TCP","60","[TCP Keep-Alive] 2173  >  443 [ACK] Seq=1 Ack=1 Win=3072 Len=1"
"118","2016-09-26 23:00:24.744790","192.168.1.196","54.210.202.2","TCP","60","[TCP Keep-Alive] 2173  >  443 [ACK] Seq=1 Ack=1 Win=3072 Len=1"
"143","2016-09-26 23:00:29.989239","Physical_00:67:5e","Tp-LinkT_51:33:ea","ARP","60","192.168.1.196 is at d0:52:a8:00:67:5e"
"154","2016-09-26 23:00:34.969826","192.168.1.196","54.210.202.2","TCP","60","[TCP Keep-Alive] 2173  >  443 [ACK] Seq=1 Ack=1 Win=3072 Len=1"
"159","2016-09-26 23:00:35.613903","192.168.1.196","54.210.202.2","TLSv1.2","123","Application Data"
"163","2016-09-26 23:00:35.844581","192.168.1.196","54.210.202.2","TCP","60","2173  >  443 [ACK] Seq=71 Ack=70 Win=3072 Len=0"
"237","2016-09-26 23:00:45.829262","192.168.1.196","54.210.202.2","TCP","60","[TCP Keep-Alive] 2173  >  443 [ACK] Seq=70 Ack=70 Win=3072 Len=1"
"274","2016-09-26 23:00:56.050885","192.168.1.196","54.210.202.2","TCP","60","[TCP Keep-Alive] 2173  >  443 [ACK] Seq=70 Ack=70 Win=3072 Len=1"
"321","2016-09-26 23:01:06.280692","192.168.1.196","54.210.202.2","TCP","60","[TCP Keep-Alive] 2173  >  443 [ACK] Seq=70 Ack=70 Win=3072 Len=1"
"347","2016-09-26 23:01:11.509241","Physical_00:67:5e","Tp-LinkT_51:33:ea","ARP","60","192.168.1.196 is at d0:52:a8:00:67:5e"
"367","2016-09-26 23:01:16.489417","192.168.1.196","54.210.202.2","TCP","60","[TCP Keep-Alive] 2173  >  443 [ACK] Seq=70 Ack=70 Win=3072 Len=1"
"409","2016-09-26 23:01:26.690317","192.168.1.196","54.210.202.2","TCP","60","[TCP Keep-Alive] 2173  >  443 [ACK] Seq=70 Ack=70 Win=3072 Len=1"
"442","2016-09-26 23:01:34.525231","192.168.1.196","54.210.202.2","TLSv1.2","123","Application Data"
"445","2016-09-26 23:01:34.760912","192.168.1.196","54.210.202.2","TCP","60","2173  >  443 [ACK] Seq=140 Ack=139 Win=3072 Len=0"
"459","2016-09-26 23:01:38.413838","192.168.1.196","54.210.202.2","TLSv1.2","123","Application Data"
"463","2016-09-26 23:01:38.653075","192.168.1.196","54.210.202.2","TCP","60","2173  >  443 [ACK] Seq=209 Ack=208 Win=3072 Len=0"
"520","2016-09-26 23:01:48.637821","192.168.1.196","54.210.202.2","TCP","60","[TCP Keep-Alive] 2173  >  443 [ACK] Seq=208 Ack=208 Win=3072 Len=1"
"547","2016-09-26 23:01:53.869222","Physical_00:67:5e","Tp-LinkT_51:33:ea","ARP","60","192.168.1.196 is at d0:52:a8:00:67:5e"
"563","2016-09-26 23:01:58.848416","192.168.1.196","54.210.202.2","TCP","60","[TCP Keep-Alive] 2173  >  443 [ACK] Seq=208 Ack=208 Win=3072 Len=1"
"593","2016-09-26 23:02:09.062723","192.168.1.196","54.210.202.2","TCP","60","[TCP Keep-Alive] 2173  >  443 [ACK] Seq=208 Ack=208 Win=3072 Len=1"
"642","2016-09-26 23:02:19.276133","192.168.1.196","54.210.202.2","TCP","60","[TCP Keep-Alive] 2173  >  443 [ACK] Seq=208 Ack=208 Win=3072 Len=1"
"684","2016-09-26 23:02:29.477391","192.168.1.196","54.210.202.2","TCP","60","[TCP Keep-Alive] 2173  >  443 [ACK] Seq=208 Ack=208 Win=3072 Len=1"
"711","2016-09-26 23:02:34.699256","Physical_00:67:5e","Tp-LinkT_51:33:ea","ARP","60","192.168.1.196 is at d0:52:a8:00:67:5e"
"719","2016-09-26 23:02:37.325481","192.168.1.196","54.210.202.2","TLSv1.2","123","Application Data"
"723","2016-09-26 23:02:37.545645","192.168.1.196","54.210.202.2","TCP","60","2173  >  443 [ACK] Seq=278 Ack=277 Win=3072 Len=0"
"775","2016-09-26 23:02:47.530420","192.168.1.196","54.210.202.2","TCP","60","[TCP Keep-Alive] 2173  >  443 [ACK] Seq=277 Ack=277 Win=3072 Len=1"
"820","2016-09-26 23:02:57.745040","192.168.1.196","54.210.202.2","TCP","60","[TCP Keep-Alive] 2173  >  443 [ACK] Seq=277 Ack=277 Win=3072 Len=1"
"844","2016-09-26 23:03:04.916141","192.168.1.196","54.210.202.2","TLSv1.2","123","Application Data"
"848","2016-09-26 23:03:05.144215","192.168.1.196","54.210.202.2","TCP","60","2173  >  443 [ACK] Seq=347 Ack=346 Win=3072 Len=0"
"899","2016-09-26 23:03:15.128641","192.168.1.196","54.210.202.2","TCP","60","[TCP Keep-Alive] 2173  >  443 [ACK] Seq=346 Ack=346 Win=3072 Len=1"
"918","2016-09-26 23:03:20.359265","Physical_00:67:5e","Tp-LinkT_51:33:ea","ARP","60","192.168.1.196 is at d0:52:a8:00:67:5e"
"939","2016-09-26 23:03:25.336058","192.168.1.196","54.210.202.2","TCP","60","[TCP Keep-Alive] 2173  >  443 [ACK] Seq=346 Ack=346 Win=3072 Len=1"
"1025","2016-09-26 23:03:35.544043","192.168.1.196","54.210.202.2","TCP","60","[TCP Keep-Alive] 2173  >  443 [ACK] Seq=346 Ack=346 Win=3072 Len=1"
"1069","2016-09-26 23:03:44.510675","192.168.1.196","54.210.202.2","TLSv1.2","139","Application Data"
"1072","2016-09-26 23:03:44.728742","192.168.1.196","54.210.202.2","TCP","60","2173  >  443 [ACK] Seq=432 Ack=415 Win=3072 Len=0"
"1159","2016-09-26 23:03:54.713310","192.168.1.196","54.210.202.2","TCP","60","[TCP Keep-Alive] 2173  >  443 [ACK] Seq=431 Ack=415 Win=3072 Len=1"
"1180","2016-09-26 23:03:59.939288","Physical_00:67:5e","Tp-LinkT_51:33:ea","ARP","60","192.168.1.196 is at d0:52:a8:00:67:5e"
"1198","2016-09-26 23:04:04.917234","192.168.1.196","54.210.202.2","TCP","60","[TCP Keep-Alive] 2173  >  443 [ACK] Seq=431 Ack=415 Win=3072 Len=1"
"1242","2016-09-26 23:04:15.119959","192.168.1.196","54.210.202.2","TCP","60","[TCP Keep-Alive] 2173  >  443 [ACK] Seq=431 Ack=415 Win=3072 Len=1"
"1293","2016-09-26 23:04:25.324805","192.168.1.196","54.210.202.2","TCP","60","[TCP Keep-Alive] 2173  >  443 [ACK] Seq=431 Ack=415 Win=3072 Len=1"
"1332","2016-09-26 23:04:35.531479","192.168.1.196","54.210.202.2","TCP","60","[TCP Keep-Alive] 2173  >  443 [ACK] Seq=431 Ack=415 Win=3072 Len=1"
"1366","2016-09-26 23:04:40.769257","Physical_00:67:5e","Tp-LinkT_51:33:ea","ARP","60","192.168.1.196 is at d0:52:a8:00:67:5e"
"1385","2016-09-26 23:04:43.422063","192.168.1.196","54.210.202.2","TLSv1.2","123","Application Data"
"1388","2016-09-26 23:04:43.656076","192.168.1.196","54.210.202.2","TCP","60","2173  >  443 [ACK] Seq=501 Ack=484 Win=3072 Len=0"
"1512","2016-09-26 23:04:53.640669","192.168.1.196","54.210.202.2","TCP","60","[TCP Keep-Alive] 2173  >  443 [ACK] Seq=500 Ack=484 Win=3072 Len=1"
"1567","2016-09-26 23:05:03.843323","192.168.1.196","54.210.202.2","TCP","60","[TCP Keep-Alive] 2173  >  443 [ACK] Seq=500 Ack=484 Win=3072 Len=1"
"1611","2016-09-26 23:05:14.049146","192.168.1.196","54.210.202.2","TCP","60","[TCP Keep-Alive] 2173  >  443 [ACK] Seq=500 Ack=484 Win=3072 Len=1"
"1648","2016-09-26 23:05:19.289245","Physical_00:67:5e","Tp-LinkT_51:33:ea","ARP","60","192.168.1.196 is at d0:52:a8:00:67:5e"
"1669","2016-09-26 23:05:24.268999","192.168.1.196","54.210.202.2","TCP","60","[TCP Keep-Alive] 2173  >  443 [ACK] Seq=500 Ack=484 Win=3072 Len=1"
"1737","2016-09-26 23:05:34.219024","192.168.1.196","54.210.202.2","TLSv1.2","123","Application Data"
"1741","2016-09-26 23:05:34.443827","192.168.1.196","54.210.202.2","TCP","60","2173  >  443 [ACK] Seq=570 Ack=553 Win=3072 Len=0"
"1811","2016-09-26 23:05:44.428884","192.168.1.196","54.210.202.2","TCP","60","[TCP Keep-Alive] 2173  >  443 [ACK] Seq=569 Ack=553 Win=3072 Len=1"
"1912","2016-09-26 23:05:54.629959","192.168.1.196","54.210.202.2","TCP","60","[TCP Keep-Alive] 2173  >  443 [ACK] Seq=569 Ack=553 Win=3072 Len=1"
"1942","2016-09-26 23:05:59.859250","Physical_00:67:5e","Tp-LinkT_51:33:ea","ARP","60","192.168.1.196 is at d0:52:a8:00:67:5e"
"1971","2016-09-26 23:06:04.843234","192.168.1.196","54.210.202.2","TCP","60","[TCP Keep-Alive] 2173  >  443 [ACK] Seq=569 Ack=553 Win=3072 Len=1"
"2012","2016-09-26 23:06:15.067091","192.168.1.196","54.210.202.2","TCP","60","[TCP Keep-Alive] 2173  >  443 [ACK] Seq=569 Ack=553 Win=3072 Len=1"
"2050","2016-09-26 23:06:25.293834","192.168.1.196","54.210.202.2","TCP","60","[TCP Keep-Alive] 2173  >  443 [ACK] Seq=569 Ack=553 Win=3072 Len=1"
"2076","2016-09-26 23:06:33.131047","192.168.1.196","54.210.202.2","TLSv1.2","123","Application Data"
"2080","2016-09-26 23:06:33.354667","192.168.1.196","54.210.202.2","TCP","60","2173  >  443 [ACK] Seq=639 Ack=622 Win=3072 Len=0"
"2109","2016-09-26 23:06:38.359279","Physical_00:67:5e","Tp-LinkT_51:33:ea","ARP","60","192.168.1.196 is at d0:52:a8:00:67:5e"
